Longitud,Latitud,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Media,Media Real,Diferencia
-177.250,51.750,0.600,0.400,1.300,2.500,4.400,6.400,8.700,9.700,8.500,5.900,3.100,1.400,4.500,4.400,0.100
-177.250,-84.750,-18.000,-26.400,-37.300,-42.100,-43.400,-43.200,-47.100,-47.300,-46.300,-37.500,-26.600,-18.000,-36.100,-36.100,0.000
-177.250,-85.250,-17.700,-26.700,-37.900,-42.500,-43.700,-43.500,-47.000,-47.300,-46.400,-37.700,-26.600,-17.800,-36.300,-36.200,-0.100
-177.250,-85.750,-22.700,-32.300,-43.900,-48.100,-49.100,-49.100,-52.300,-52.500,-51.700,-43.100,-31.800,-22.700,-41.700,-41.600,-0.100
-177.250,-86.250,-24.900,-35.100,-47.100,-51.100,-51.800,-52.000,-54.700,-55.000,-54.300,-45.700,-34.300,-24.800,-44.300,-44.200,-0.100
-177.250,-86.750,-26.700,-37.500,-49.900,-53.700,-54.300,-54.700,-56.900,-57.100,-56.600,-48.100,-36.400,-26.600,-46.600,-46.500,-0.100
-177.250,-87.250,-27.600,-38.900,-51.600,-55.300,-55.700,-56.100,-58.200,-58.300,-57.900,-49.400,-37.600,-27.600,-47.900,-47.800,-0.100
-177.250,-87.750,-28.400,-40.100,-53.000,-56.500,-56.900,-57.400,-59.200,-59.300,-58.900,-50.500,-38.500,-28.400,-49.000,-48.900,-0.100
-177.250,-88.250,-29.100,-41.100,-54.300,-57.700,-58.000,-58.600,-60.200,-60.200,-60.000,-51.500,-39.300,-29.100,-50.000,-49.900,-0.100
-177.250,-88.750,-29.100,-41.200,-54.500,-58.000,-58.200,-58.700,-60.200,-60.200,-60.100,-51.600,-39.400,-29.000,-50.100,-50.000,-0.100
-177.250,-89.250,-28.400,-40.800,-54.200,-57.600,-57.700,-58.300,-59.700,-59.700,-59.600,-51.100,-38.800,-28.400,-49.600,-49.500,-0.100
-177.250,-89.750,-27.700,-40.200,-53.600,-57.000,-57.200,-57.700,-59.100,-59.100,-59.000,-50.500,-38.100,-27.700,-49.000,-48.900,-0.100
-176.750,67.750,-22.300,-23.300,-18.500,-16.600,-6.800,2.800,6.000,5.000,2.300,-5.100,-12.100,-20.500,-9.000,-9.100,0.100
-176.750,67.250,-22.400,-23.000,-17.300,-16.900,-7.500,2.500,5.700,4.700,2.400,-4.800,-11.600,-20.400,-9.100,-9.000,-0.100
-176.750,66.750,-22.500,-22.600,-16.900,-16.700,-8.000,1.900,5.300,4.700,2.000,-4.800,-11.800,-20.200,-9.100,-9.100,0.000
-176.750,66.250,-21.700,-21.600,-17.200,-15.800,-7.400,2.100,5.700,5.100,2.000,-4.600,-11.600,-19.300,-8.600,-8.700,0.100
-176.750,65.750,-20.100,-20.100,-17.600,-14.000,-6.000,2.400,6.300,5.800,2.000,-4.400,-11.200,-17.900,-7.700,-7.900,0.200
-176.750,51.750,-0.900,-1.100,0.100,1.400,3.400,5.600,8.000,9.100,7.400,4.500,1.600,-0.100,3.200,3.200,0.000
-176.750,-84.750,-12.600,-21.000,-32.000,-36.700,-38.000,-37.900,-41.700,-41.900,-40.900,-32.100,-21.300,-12.600,-30.700,-30.700,0.000
-176.750,-85.250,-17.000,-25.900,-37.200,-41.700,-43.000,-42.800,-46.300,-46.500,-45.600,-37.000,-25.900,-17.100,-35.500,-35.500,0.000
-176.750,-85.750,-23.000,-32.500,-44.100,-48.300,-49.300,-49.300,-52.500,-52.700,-51.900,-43.300,-32.000,-22.900,-41.900,-41.800,-0.100
-176.750,-86.250,-24.800,-34.900,-46.900,-51.000,-51.700,-51.900,-54.500,-54.800,-54.200,-45.600,-34.200,-24.700,-44.200,-44.100,-0.100
-176.750,-86.750,-26.600,-37.500,-49.800,-53.600,-54.300,-54.600,-56.900,-57.000,-56.600,-48.000,-36.400,-26.500,-46.600,-46.500,-0.100
-176.750,-87.250,-27.600,-38.900,-51.600,-55.200,-55.600,-56.000,-58.100,-58.200,-57.800,-49.300,-37.500,-27.600,-47.900,-47.800,-0.100
-176.750,-87.750,-28.400,-40.000,-53.000,-56.500,-56.900,-57.300,-59.200,-59.300,-58.900,-50.500,-38.500,-28.400,-49.000,-48.900,-0.100
-176.750,-88.250,-29.100,-41.100,-54.300,-57.700,-58.000,-58.500,-60.200,-60.200,-60.100,-51.500,-39.300,-29.100,-50.000,-49.900,-0.100
-176.750,-88.750,-29.100,-41.200,-54.500,-58.000,-58.200,-58.700,-60.200,-60.200,-60.100,-51.600,-39.400,-28.900,-50.100,-50.000,-0.100
-176.750,-89.250,-28.400,-40.800,-54.100,-57.600,-57.700,-58.300,-59.700,-59.700,-59.600,-51.100,-38.800,-28.400,-49.600,-49.500,-0.100
-176.750,-89.750,-27.700,-40.200,-53.600,-57.000,-57.200,-57.700,-59.100,-59.100,-59.000,-50.500,-38.100,-27.700,-49.000,-48.900,-0.100
-176.250,67.750,-22.400,-23.500,-18.000,-17.100,-7.200,2.600,5.700,4.700,2.300,-5.100,-12.000,-20.700,-9.200,-9.200,0.000
-176.250,67.250,-22.500,-23.200,-16.700,-17.400,-7.900,2.400,5.500,4.500,2.500,-4.800,-11.500,-20.600,-9.200,-9.100,-0.100
-176.250,66.750,-22.500,-22.900,-15.900,-17.100,-8.200,2.100,5.400,4.500,2.400,-4.600,-11.400,-20.400,-10.000,-9.000,-1.000
-176.250,66.250,-22.700,-22.900,-17.000,-17.200,-8.600,1.400,4.700,4.000,1.600,-5.300,-12.100,-20.500,-9.500,-9.500,0.000
-176.250,65.750,-19.300,-19.800,-16.200,-13.700,-5.400,3.000,6.600,6.000,2.900,-3.500,-10.200,-17.300,-7.100,-7.200,0.100
-176.250,-43.750,15.000,15.600,14.600,12.800,11.100,9.200,8.500,8.900,9.500,10.700,12.200,13.700,11.800,11.800,0.000
-176.250,-44.250,15.000,15.100,14.500,12.800,10.900,9.400,8.600,8.900,9.600,10.700,11.900,13.800,11.700,11.800,-0.100
-176.250,-84.750,-9.900,-18.300,-29.200,-34.000,-35.300,-35.100,-39.000,-39.200,-38.200,-29.400,-18.600,-9.900,-28.000,-28.000,0.000
-176.250,-85.250,-16.500,-25.500,-36.700,-41.200,-42.500,-42.400,-45.800,-46.000,-45.200,-36.500,-25.400,-16.600,-35.000,-35.000,0.000
-176.250,-85.750,-23.300,-32.700,-44.400,-48.600,-49.600,-49.600,-52.800,-53.000,-52.300,-43.600,-32.300,-23.200,-42.200,-42.100,-0.100
-176.250,-86.250,-24.700,-34.900,-46.800,-50.900,-51.600,-51.800,-54.500,-54.700,-54.100,-45.500,-34.100,-24.600,-44.100,-44.000,-0.100
-176.250,-86.750,-26.600,-37.500,-49.800,-53.600,-54.200,-54.500,-56.800,-57.000,-56.500,-48.000,-36.300,-26.500,-46.500,-46.400,-0.100
-176.250,-87.250,-27.500,-38.800,-51.500,-55.100,-55.500,-55.900,-58.000,-58.200,-57.800,-49.200,-37.400,-27.500,-47.800,-47.700,-0.100
-176.250,-87.750,-28.400,-40.000,-53.000,-56.500,-56.900,-57.300,-59.100,-59.200,-58.900,-50.500,-38.400,-28.400,-48.900,-48.900,0.000
-176.250,-88.250,-29.100,-41.100,-54.300,-57.700,-58.000,-58.500,-60.200,-60.200,-60.100,-51.500,-39.300,-29.100,-53.000,-49.900,-3.100
-176.250,-88.750,-29.000,-41.200,-54.500,-58.000,-58.200,-58.700,-60.200,-60.200,-60.100,-51.500,-39.400,-28.900,-50.100,-50.000,-0.100
-176.250,-89.250,-28.400,-40.800,-54.100,-57.500,-57.700,-58.300,-59.700,-59.700,-59.600,-51.100,-38.800,-28.400,-49.600,-49.500,-0.100
-176.250,-89.750,-27.700,-40.200,-53.600,-57.000,-57.200,-57.700,-59.100,-59.100,-59.000,-50.500,-38.100,-27.700,-49.000,-48.900,-0.100
-175.750,67.750,-22.300,-23.300,-17.100,-17.200,-7.400,2.700,5.800,4.700,2.800,-4.700,-11.600,-20.500,-9.000,-9.000,0.000
-175.750,67.250,-22.300,-22.900,-15.500,-17.300,-7.900,2.800,5.800,4.800,3.100,-4.100,-10.900,-20.200,-8.600,-8.700,0.100
-175.750,66.750,-22.200,-22.700,-14.900,-17.100,-7.900,2.600,5.800,4.800,3.100,-4.000,-10.700,-20.000,-8.600,-8.600,0.000
-175.750,66.250,-22.300,-22.900,-16.300,-17.100,-8.400,1.600,4.900,4.000,2.000,-4.800,-11.600,-20.300,-9.200,-9.300,0.100
-175.750,65.750,-19.400,-20.400,-15.500,-14.400,-5.700,3.000,6.400,5.600,3.000,-3.600,-10.000,-17.700,-7.300,-7.400,0.100
-175.750,65.250,-15.100,-16.600,-14.100,-10.200,-2.100,4.200,7.700,7.400,3.900,-2.100,-7.700,-13.900,-4.800,-4.900,0.100
-175.750,-84.750,-15.200,-23.600,-34.500,-39.300,-40.600,-40.400,-44.300,-44.500,-43.500,-34.700,-23.800,-15.300,-33.300,-33.300,0.000
-175.750,-85.250,-17.200,-26.100,-37.400,-41.900,-43.200,-43.100,-46.500,-46.700,-45.800,-37.200,-26.100,-17.300,-35.700,-35.700,0.000
-175.750,-85.750,-23.500,-33.000,-44.600,-48.900,-49.900,-49.900,-53.100,-53.300,-52.500,-43.900,-32.600,-23.500,-42.500,-42.400,-0.100
-175.750,-86.250,-24.600,-34.800,-46.700,-50.800,-51.500,-51.700,-54.400,-54.700,-54.000,-45.400,-34.100,-24.500,-47.000,-43.900,-3.100
-175.750,-86.750,-26.600,-37.400,-49.800,-53.600,-54.200,-54.400,-56.800,-57.000,-56.500,-48.000,-36.300,-26.500,-46.500,-46.400,-0.100
-175.750,-87.250,-27.400,-38.700,-51.400,-55.000,-55.400,-55.800,-57.900,-58.000,-57.700,-49.100,-37.300,-27.400,-47.700,-47.600,-0.100
-175.750,-87.750,-28.300,-40.000,-52.900,-56.500,-56.900,-57.300,-59.100,-59.200,-58.900,-50.500,-38.400,-28.300,-48.900,-48.900,0.000
-175.750,-88.250,-29.100,-41.100,-54.300,-57.700,-58.000,-58.500,-60.200,-60.200,-60.100,-51.500,-39.400,-29.100,-50.000,-49.900,-0.100
-175.750,-88.750,-29.000,-41.200,-54.500,-58.000,-58.200,-58.700,-60.200,-60.200,-60.100,-51.500,-39.400,-28.900,-50.100,-50.000,-0.100
-175.750,-89.250,-28.400,-40.800,-54.100,-57.500,-57.700,-58.300,-59.700,-59.700,-59.600,-51.100,-38.800,-28.400,-49.600,-49.500,-0.100
