,Longitud,Latitud,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Media,Media Real,Diferencia
86,-177.75,-87.75,-28.4º,-40.1º,-53.0º,-56.5º,-56.9º,-57.3º,-59.2º,-59.3º,-59.0º,-50.5º,-38.5º,-28.4º,-49.0º,-48.9º,-0.1º
87,-177.75,-88.25,-29.1º,-41.1º,-54.3º,-57.7º,-58.1º,-58.6º,-60.2º,-60.2º,-60.0º,-51.5º,-39.3º,-29.1º,-50.0º,-49.9º,-0.1º
88,-177.75,-88.75,-29.1º,-41.2º,-54.6º,-58.0º,-58.2º,-58.8º,-60.2º,-60.2º,-60.1º,-51.6º,-39.4º,-29.0º,-50.1º,-50.0º,-0.1º
89,-177.75,-89.25,-28.4º,-40.8º,-54.2º,-57.6º,-57.8º,-58.3º,-59.7º,-59.7º,-59.6º,-51.2º,-38.8º,-28.4º,-49.6º,-49.5º,-0.1º
90,-177.75,-89.75,-27.7º,-40.2º,-53.6º,-57.0º,-57.2º,-57.7º,-59.1º,-59.1º,-59.0º,-50.5º,-38.1º,-27.7º,-49.0º,-48.9º,-0.1º
91,-177.25,67.75,-22.6º,-23.6º,-19.4º,-16.8º,-6.9º,2.6º,5.7º,4.8º,1.9º,-5.6º,-12.7º,-20.9º,-9.4º,-9.5º,0.1º
92,-177.25,67.25,-22.0º,-22.5º,-17.6º,-16.2º,-7.0º,2.8º,6.1º,5.2º,2.5º,-4.7º,-11.6º,-20.0º,-8.7º,-8.8º,0.1º
93,-177.25,66.75,-21.1º,-21.0º,-16.6º,-15.0º,-6.6º,3.1º,6.6º,6.1º,2.9º,-3.9º,-10.7º,-18.8º,-7.8º,-7.9º,0.1º
94,-177.25,66.25,-21.4º,-20.9º,-18.2º,-14.9º,-7.0º,2.2º,6.0º,5.6º,1.9º,-4.7º,-11.8º,-18.8º,-8.4º,-8.5º,0.1º
95,-177.25,65.75,-19.1º,-18.7º,-17.3º,-12.3º,-4.7º,3.6º,7.8º,7.5º,3.0º,-3.4º,-10.5º,-16.7º,-8.7º,-6.7º,-2.0º
96,-177.25,51.75,0.6º,0.4º,1.3º,2.5º,4.4º,6.4º,8.7º,9.7º,8.5º,5.9º,3.1º,1.4º,4.5º,4.4º,0.1º
97,-177.25,-84.75,-18.0º,-26.4º,-37.3º,-42.1º,-43.4º,-43.2º,-47.1º,-47.3º,-46.3º,-37.5º,-26.6º,-18.0º,-36.1º,-36.1º,0.0º
